"","Cold Cold Cold
IS 288 ORS,
January 27, 2017","January 2017
ORS 4 tagged spat,
January 27, 2017","Eels and Shrimp
IS 288 ORS,
March 21, 2017","Spring 2017 Trip 1
Williamsburg Prep ORS,
March 29, 2017","Early Spring
East Harlem,
April 3, 2017","PS 71 McMurray Hall East Trip #4
SUNY Maritime McMurray Hall East,
April 5, 2017","TYWLS Expedition 3 (6-1)
Astoria TYWLS ORS,
April 6, 2017","Bop 6
Rye Boat Basin,
April 6, 2017","TYWLS Expedition 4 (7-2)
Astoria TYWLS ORS,
April 20, 2017","Spring 2017 Trip 2
Williamsburg Prep ORS,
April 20, 2017","Expedition 2
Whole Foods Gowanus (MS51),
April 20, 2017","Sherman Creek 3
Sherman Creek South,
April 21, 2017","ORS TRIP 2 7A
IS 281 Joe Gulino,
April 24, 2017","Expedition 3
Whole Foods Gowanus (MS51),
April 27, 2017","April 29 2017
Pier A,
April 29, 2017"
Total number of live oysters on shell,1,1,0,2,0,1,12,5,7,1,0,10,0,0,0
Total mass of scrubbed substrate shell + oysters + tag (g),67.8,24.4,0,32,16,0,72,0,61.5,28,0,0,0,0,0
Measurements (mm),64,39.5,,"30,25",,44,"20,15,18,18,21,14,25,28,12,25,30,15","59,73,28,64,72","20,25,20,30,15,13,25",20,,"3.3,4.5,6,1.8,0.5,6.9,1,5.8,5.9,4",,,
Minimum size of live oysters (mm),64,39.5,,25,,44,12,28,13,20,0,0.5,,0,0
Maximum size of live oysters (mm),64,39.5,,30,,44,30,73,30,20,0,6.9,,0,0
Average size of live oysters (mm),64,39.5,,27.5,,44,20.083333333333332,59.2,21.142857142857142,20,0,3.97,,0,0
Substrate Shell #7,,,,,,,,,,,,,,,
Outer side photo,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/b1fb6bfc9dee80b4cb1c5699062e5484.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/02475d31a243ad27bca83dc061cd5a48.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/dd488d5b8bf03b3d373f2614f78ef115.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/497707fc7c4fd8a217299907954e42dc.jpg,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/ae35566acedaf97f1e0eaa813326b821.JPG
Inner side photo,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesa8d0fd9667b5c562bea7a491a041e6c0.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesd9fb42f786e91d30163aafb0ba1b7f7f.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates441af7da8b0e66f0672bd8d55d5e0ab0.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates5cd9aa0d4724c5d8284eba56a1912c26.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates9b6bdcb420d70840319eb2767623854c.jpg,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates4bf4c8184ed9acf7502d2e66e43c8d9d.JPG
Set date,3/27/17,,3/27/17,,6/21/16,,7/31/15,7/22/16,7/31/15,,1/1/70,11/7/16,,1/1/70,8/13/16
Source,"Muscongus Bay, Maine",,"Muscongus Bay, Maine",,"Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine",Harlem River,,"Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,1,,1,,,,6,,6,,4,21,,4,4
Total mass of live oysters at baseline (g),60.1,,60.1,,,,4.9,,4.9,,,8,,,
Total number of live oysters on shell,0,0,2,2,1,0,6,5,5,2,0,10,0,0,0
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,60.1,23,15,0,49,0,46.2,23.1,0,0,0,0,0
Measurements (mm),,,"37,68","10,20",20.4,,"35,18,42,35,40,36","68,68,77,80,66","30,40,30,41,25","19,22",,"2.4,7.8,2,2.9,4.7,3.5,4.7,6,3,4.7",,,
Minimum size of live oysters (mm),,,37,10,20.4,0,18,66,25,19,0,2,,0,0
Maximum size of live oysters (mm),,,68,20,20.4,0,42,80,41,22,0,7.8,,0,0
Average size of live oysters (mm),,,52.5,15,20.4,0,34.333333333333336,71.8,33.2,20.5,0,4.17,,0,0
Substrate Shell #8,,,,,,,,,,,,,,,
Outer side photo,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/b2fe660f0696ed548f85998b1cb46f55.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/135c934121f2ae5d99ebfe2ed5fdf421.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/11a7cef3af8b7c2c1ab8a0565712c87a.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/6a911bd3551788a9ed9a74f26bf80ea2.jpg,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/d929e2cc5d9b098a63728151a9b1103f.JPG
Inner side photo,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates490a97734f9d2cf6fa58d4317c67c732.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratese1ffc928d8f67ee4d5ee7cee3b2e63cf.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates650077da2a4ed18303f024fa83a2ba3b.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates3063c10d080348abc14ec5f1459f9bed.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates7723466850c9e202bd6fb2afe4922e00.jpg,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesb5a5edcc3959c443e84aa4597b33b2f6.JPG
Set date,,,,7/15/15,6/9/16,,7/31/15,7/22/16,7/31/15,7/15/15,1/1/70,,,1/1/70,8/13/16
Source,,,,"Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,,"Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,,,,4,10,,5,,5,4,8,,,8,1
Total mass of live oysters at baseline (g),,,,,,,10.5,,10.5,,,,,,
Total number of live oysters on shell,1,4,1,2,4,0,5,8,5,2,0,7,0,0,1
Total mass of scrubbed substrate shell + oysters + tag (g),86.1,111,76.6,40,34,0,105,0,94.5,41,0,0,0,0,0
Measurements (mm),80,"35,31,23,24",79,"25,25","35.5,48.4,45.7,24.2",,"58,30,34,28,37","45,59,48,32,21,57,31,79","60,28,20,25,5","20,26",,"4.6,7,2.7,3.3,3,3.1,5",,,32
Minimum size of live oysters (mm),80,23,79,25,24.2,0,28,21,5,20,0,2.7,,0,32
Maximum size of live oysters (mm),80,35,79,25,48.4,0,58,79,60,26,0,7,,0,32
Average size of live oysters (mm),80,28.25,79,25,38.45,0,37.4,46.5,27.6,23,0,4.1000000000000005,,0,32
Substrate Shell #9,,,,,,,,,,,,,,,
Outer side photo,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/4d227cd8e8794b0efb08917a580a97e4.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/cf74f705ed83a7e658ea3a8417a0fe21.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/c568db588952bb148c0f9f0cb306ef7a.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/0b22e08e821aac032b7adf0961214333.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/5c4c455f3662c77d04ed95c063fcc6be.jpg,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/d2dacea6016b77a0b105dc473aaf3499.JPG
Inner side photo,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates799ddf6ead9df274cb69f4f7cfdb3801.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesaffece3ddcc7e3b62178bfcf9080cb27.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesfe5cc91648ff6283b42d0714a83aa369.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesac950bc88114055f1412032e65308da1.jpg,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesfa094cac829e3cb6f65debc569255dd3.JPG
Set date,6/28/15,,6/28/15,,6/9/16,5/16/17,7/31/15,7/22/16,7/31/15,,1/1/70,12/11/16,,1/1/70,8/13/16
Source,"Muscongus Bay, Maine",,"Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine",Harlem River,,"Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,1,,1,,4,,6,,6,,5,3,,5,4
Total mass of live oysters at baseline (g),66.4,,66.4,,,,15.3,,15.3,,,5,,,
Total number of live oysters on shell,1,0,1,5,4,2,5,6,6,3,3,10,0,0,0
Total mass of scrubbed substrate shell + oysters + tag (g),73.3,0,6.4,41,28,0,72,0,63.7,34,0,0,0,0,0
Measurements (mm),66,,30,"20,25,20,20,15","35.4,29.1,27.9,27.1","61,33","35,23,28,53,32","76,80,63,69,62,65","25.3,14.1,46.6,31.6,26.3,26.1","17,30,19","86.62,96.65,89.31","3,3.7,1,2.4,8.6,2,3.5,7,4,6",,,
Minimum size of live oysters (mm),66,,30,15,27.1,33,23,62,14.1,17,86.62,1,,0,0
Maximum size of live oysters (mm),66,,30,25,35.4,61,53,80,46.6,30,96.65,8.6,,0,0
Average size of live oysters (mm),66,,30,20,29.875,47,34.2,69.16666666666667,28.333333333333332,22,90.86000000000001,4.12,,0,0
Substrate Shell #10,,,,,,,,,,,,,,,
Outer side photo,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/a58191b10ec47980660271a7790ae70f.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/57ebfb76cecc55d9ad207b9c49c55b31.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/2efd54a34c5b970ad6f9b22b0b5ea6b1.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/85b1f83998e6bbdf7a945fddc491e60d.JPG,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/bcc23bda92cfc12da7c7722ac0cf2bed.JPG
Inner side photo,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates543872b0331d93d4aca7e1dbb8fd137d.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates61fb8d216d724a74d8d3c0088b87681e.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesc086576f70a242844326a4886b81c824.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesa84be0a5e4add185e8f05a8ae83bbd4e.JPG,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesd1b460f9ff13f2ba7f653271a307e96f.JPG
Set date,,,,,6/9/16,,7/29/15,7/22/16,7/29/15,,1/1/70,,,1/1/70,8/13/16
Source,,,,,"Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine",,,"Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,,,,,8,,14,,14,,5,,,5,2
Total mass of live oysters at baseline (g),,,,,,,5.76,,5.76,,,,,,
Total number of live oysters on shell,0,0,0,3,5,0,14,4,20,0,1,15,0,0,0
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,0,86,47,0,58,0,55,0,0,0,0,0,0
Measurements (mm),,,,"30,30,40","32.1,34.3,37.9,24.1,24.3",,"23,27,20,18,22,30,35,16,26,32,23,18,18,21","78,52,95,54","14,30,10,21,10,19,18,22,30,26,17,15,10,10,20,15,16,26,24,10",,39.53,"5,6.4,1.5,6.1,3.5,2.5,3.4,2.4,6,5.5,1.5,5.3,3.3,3.7,2",,,
Minimum size of live oysters (mm),,,,30,24.1,0,16,52,10,0,39.53,1.5,,0,0
Maximum size of live oysters (mm),,,,40,37.9,0,35,95,30,0,39.53,6.4,,0,0
Average size of live oysters (mm),,,,33.333333333333336,30.540000000000003,0,23.5,69.75,18.15,0,39.53,3.873333333333333,,0,0
Minimum size of all live oysters (mm),57,23,30,5,19.9,26,8,21,2,13,39.53,0.5,2,45.64,4
Maximum size of all live oysters (mm),86,41.4,87,40,60,65,58,95,60,30,96.65,8.6,26,81.74,60
Average size of all live oysters (mm),71.875,33.05,64,23.571428571428573,33.96086956521739,44.2,24.38235294117647,60.943396226415096,20.169306930693068,20.181818181818183,80.334,4.2593749999999995,14.3,59.99142857142857,33.416666666666664
Total number of all live oysters,8,10,7,28,23,10,102,53,101,11,10,96,10,7,12
Water Quality Sample #1,,,,,,,,,,,,,,,
Depth (m),0,0,0,0.2,7,0.25,0.5,,0,0.2,0,,4,0,0
Location (coordinates),"40.57954165275019, -73.992919921875","40.79142677512476, -73.93522560596465","40.72819784159945, -74.01204407215118","40.72084750453007, -73.96448314189911","40.79140240694607, -73.93528461456297","40.80581868324361, -73.79645079374313","40.76845173617708, -73.93850326538086","40.957838, -73.689257","40.76845173617708, -73.93850326538086","40.72063722728484, -73.96555151892244","40.6755282563532, -73.9905595779419","40.863679665481676, -73.6798095703125","40.59705820289411, -74.00490578078006","40.6755282563532, -73.9905595779419","40.703963, -74.017852"
Water Temperature,,,,,,,,,,,,,,,
Method,Digital thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Analog thermometer
Unit,C,C,C,F,C,C,C,C,C,F,C,F,,C,C
Results,"39,31","10,10,10","65,64","40,40,40","4,4,4","8,9,9","5,4,7","8,8","10,11,10","49,10","13.5,13.5,13.9","64.9,64.9,64.9","49,51,49","13,13,13","11,11"
Average,35,10,64.5,40,4,8.67,5.33,8,10.33,29.5,13.63,64.9,49.67,13,11
Dissolved Oxygen,,,,,,,,,,,,,,,
Method,Colormetric ampules,Colormetric ampules,Colormetric ampules,Colormetric ampules,Colormetric ampules,Colormetric ampules,Colormetric ampules,Colormetric ampules,Colormetric ampules,Colormetric ampules,Colormetric ampules,Colormetric ampules,Colormetric ampules,Colormetric ampules,Colormetric ampules
Unit,mg/L (ppm),mg/L (ppm),mg/L (ppm),mg/L (ppm),mg/L (ppm),mg/L (ppm),mg/L (ppm),mg/L (ppm),mg/L (ppm),mg/L (ppm),mg/L (ppm),mg/L (ppm),mg/L (ppm),mg/L (ppm),mg/L (ppm)
Results,"10,12","8,10,10","-1,-1,-1","7,7,7","10,8,8","9,12,11","7,8,7","7,7","9,9,8","12,12","10,8,8","5,5,5","12,11,11","6,8,8","7,7"
Average,11,9.33,-1,7,8.67,10.67,7.33,7,8.67,12,8.67,5,11.33,7.33,7
Salinity,,,,,,,,,,,,,,,
Method,Hydrometer,Hydrometer,Hydrometer,Hydrometer,Hydrometer,Hydrometer,Hydrometer,Hydrometer,Hydrometer,Hydrometer,Hydrometer,Hydrometer,Hydrometer,Hydrometer,Hydrometer
Unit,PPT,PPT,PPT,PPT,PPT,PPT,PPT,PPT,,PPT,PPT,PPT,PPT,PPT,PPT
Results,"19,18.5,20","10,10,10","19.5,16","22,22,22","6,16,8","18,20,18","19,20,17","0.1,0.1","22,19,22","16,16","16,16,16","9,9,9","21,21,23","19,19,19","24,24"
Average,19.17,10,17.75,22,10,18.67,18.67,0.1,21,16,16,9,21.67,19,24
pH,,,,,,,,,,,,,,,
Method,Sensor (read only),Sensor (read only),Sensor,Sensor,Sensor (read only),Test strips,Test strips,Test strips,Test strips,Sensor,Sensor (read only),Sensor,Test strips,Sensor (read only),Sensor
Unit,pH (logscale),pH (logscale),pH (logscale),pH (logscale),pH (logscale),,pH (logscale),pH (logscale),pH (logscale),pH (logscale),pH (logscale),pH (logscale),pH (logscale),pH (logscale),pH (logscale)
Results,"7.7,7.8,7.5","8.3,8.4","8.1,7.8","7.7,7.7,7.7","7.7,7.7,7.7","7,7,7","6.5,6.5,6.5","7,7","7.5,7,7","8,8.1","7.2,7.8,7.8","7.4,7.4,7.4","7,7,7","7.4,7.3,7.3","7.4,7.4"
Average,7.67,8.35,7.95,7.7,7.7,7,6.5,7,7.17,8.05,7.6,7.4,7,7.33,7.4
Turbidity,,,,,,,,,,,,,,,
Method,Turbidity tube,Turbidity tube,Turbidity tube,Turbidity tube,Turbidity tube,,Turbidity tube,Turbidity tube,,Turbidity tube,Turbidity tube,Turbidity tube,Turbidity tube,Turbidity tube,
Unit,cm,cm,cm,cm,cm,,cm,cm,,cm,cm,cm,cm,cm,
Results,"75,83,72","54,54,54",63,35,"43,43,43",,"71,71,71","25.1,25.1",,"50,50","119,107,104","41,41,41","45,46,47","67,67,65",
Average,76.67,54,63,35,43,,71,25.1,,50,110,41,46,66.33,
Ammonia,,,,,,,,,,,,,,,
Method,Test strips,Test strips,Test strips,Test strips,Test strips,Test strips,Test strips,Test strips,Test strips,Test strips,Test strips,Test strips,Test strips,,
Unit,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,
Results,"0.25,0.26,0.25",",,","0.25,0.3",0.5,"0.5,0.5,0.5",",0.25,0.25","0.25,0,0","1.5,1.5","1,0.5,0.5","6,6","0,0,0","0.25,0.25,0.25","0,0,0",,
Average,0.25,0,0.28,0.5,0.5,0.25,0.25,1.5,0.67,6,0,0.25,0,,
Nitrates,,,,,,,,,,,,,,,
Method,Test strips,Test strips,Test strips,Test strips,Test strips,Test strips,Test strips,Test strips,,Test strips,Test strips,Test strips,Test strips,Test strips,Test strips
Unit,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,ppm,ppm,ppm,ppm,ppm,ppm
Results,"10,25","20,20,20",,0,"0,0,-47","0,0,0","0,0,0","2,2",,"0,0","0,0,0","0.25,0.25,0.25","0,0,0","20,20,15",0.5
Average,17.5,20,0,0,-47,0,0,2,,0,0,0.25,0,18.33,0.5
Other,,,,,,,,,,,,,,,
Label,,Phosphate,,phosphate,Phosphate,turbidity,Nitrite,,Nitrite,,,,,,Phosphate
Method,,Test strips,,test strips,Test strips,Secchi disk,test strip,,Test strip,,,,,,Aquachek
Unit,,PPM,,ppm,ppm,meters,ppm,,Ppm,,,,,,ppb
Results,,"5,5,5",,0,"5,5,15","1.75,1.5,0","0,0,0",,"0,0,0",,,,,,"200,200"
Average,,5,,0,8.33,1.63,0,,0,,,,,,200
Water Quality Sample #2,
Depth (m),,,,,,,0,,,,,,,,
Location (coordinates),,,,,,,"40.76845173617708, -73.93850326538086",,,,,,,,
Water Temperature,,,,,,,,,,,,,,,
Method,,,,,,,Analog thermometer,,,,,,,,
Unit,,,,,,,C,,,,,,,,
Results,,,,,,,"5,6,4",,,,,,,,
Average,,,,,,,5,,,,,,,,
Dissolved Oxygen,,,,,,,,,,,,,,,
Method,,,,,,,Colormetric ampules,,,,,,,,
Unit,,,,,,,mg/L (ppm),,,,,,,,
Results,,,,,,,"8,7,9",,,,,,,,
Average,,,,,,,8,,,,,,,,
Salinity,,,,,,,,,,,,,,,
Method,,,,,,,Hydrometer,,,,,,,,
Unit,,,,,,,PPT,,,,,,,,
Results,,,,,,,"15,14,14",,,,,,,,
Average,,,,,,,14.33,,,,,,,,
pH,,,,,,,,,,,,,,,
Method,,,,,,,Test strips,,,,,,,,
Unit,,,,,,,pH (logscale),,,,,,,,
Results,,,,,,,"6.5,6.5,6.5",,,,,,,,
Average,,,,,,,6.5,,,,,,,,
Turbidity,,,,,,,,,,,,,,,
Method,,,,,,,Turbidity tube,,,,,,,,
Unit,,,,,,,cm,,,,,,,,
Results,,,,,,,"70,71,68",,,,,,,,
Average,,,,,,,69.67,,,,,,,,
Ammonia,,,,,,,,,,,,,,,
Method,,,,,,,Test strips,,,,,,,,
Unit,,,,,,,ppm,,,,,,,,
Results,,,,,,,"0,0.25,0.25",,,,,,,,
Average,,,,,,,0.25,,,,,,,,
Nitrates,,,,,,,,,,,,,,,
Method,,,,,,,Test strips,,,,,,,,
Unit,,,,,,,ppm,,,,,,,,
Results,,,,,,,"0,0,0",,,,,,,,
Average,,,,,,,0,,,,,,,,
Other,,,,,,,,,,,,,,,
Label,,,,,,,Phosphate,,,,,,,,
Method,,,,,,,test strips,,,,,,,,
Unit,,,,,,,ppm,,,,,,,,
Results,,,,,,,"5,5,5",,,,,,,,
Average,,,,,,,5,,,,,,,,
