"","Cold Cold Cold
IS 288 ORS,
January 27, 2017","January 2017
ORS 4 tagged spat,
January 27, 2017","Eels and Shrimp
IS 288 ORS,
March 21, 2017","Spring 2017 Trip 1
Williamsburg Prep ORS,
March 29, 2017","Early Spring
East Harlem,
April 3, 2017","PS 71 McMurray Hall East Trip #4
SUNY Maritime McMurray Hall East,
April 5, 2017","TYWLS Expedition 3 (6-1)
Astoria TYWLS ORS,
April 6, 2017","Bop 6
Rye Boat Basin,
April 6, 2017","TYWLS Expedition 4 (7-2)
Astoria TYWLS ORS,
April 20, 2017","Spring 2017 Trip 2
Williamsburg Prep ORS,
April 20, 2017","Expedition 2
Whole Foods Gowanus (MS51),
April 20, 2017","Sherman Creek 3
Sherman Creek South,
April 21, 2017","ORS TRIP 2 7A
IS 281 Joe Gulino,
April 24, 2017","Expedition 3
Whole Foods Gowanus (MS51),
April 27, 2017","April 29 2017
Pier A,
April 29, 2017"
Inner side photo,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesf41b0fdcfc9321887460ac4794352951.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesafcdd945ea14b85ac9e4b538ddbb41c0.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates019bb2e7cc75674c8b8345ab68fc6606.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates9efd1b7592bf626f10e0e80418f27663.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesf4d44e82aeae1641bce67f6e87cbfa48.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesd625776c7aa5be184fa6bbb33ee8233f.JPG
Set date,9/11/16,,9/11/16,7/15/15,6/8/16,7/15/15,7/31/15,7/15/15,7/31/15,7/15/15,1/1/70,11/9/16,5/10/17,1/1/70,8/13/16
Source,"Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",Harlem River,MARINE BASE MARINA,"Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,2,,2,11,13,3,4,,4,11,5,12,10,5,4
Total mass of live oysters at baseline (g),159,,159,,,,3.8,,3.8,,,2,112,,
Total number of live oysters on shell,1,2,2,3,2,3,6,7,3,0,0,4,10,1,2
Total mass of scrubbed substrate shell + oysters + tag (g),69.5,46.1,154.6,15,29,0,52,0,30.08,7.2,0,0,116,0,0
Measurements (mm),70,"34.7,26.1","72,87","15,25,10","41.2,19.9","61,46,31","42,35,35,45,35,25","65,72,73,51,52,73,71","44,36,5",,,"6,5.2,4.2,3","26,23,22,16,7,2,4,5,17,21",81.74,"54,60"
Minimum size of live oysters (mm),70,26.1,72,10,19.9,31,25,51,5,20,0,3,2,81.74,54
Maximum size of live oysters (mm),70,34.7,87,25,41.2,61,45,73,44,26,0,6,26,81.74,60
Average size of live oysters (mm),70,30.400000000000002,79.5,16.666666666666668,30.55,46,36.166666666666664,65.28571428571429,28.333333333333332,23,0,4.6,14.3,81.74,57
Substrate Shell #2,,,,,,,,,,,,,,,
Outer side photo,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/edbbde8f74435fda34cfbab5837266f6.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/313f0eef3c0e108fda329afbcef34377.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/f9cbf7cbaeee8558c604964ffa97a0d1.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/1d0a5d8b796b67d39ebeaa8162236b1e.JPG,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/fa9999bb172d9c6f8bcdd553873f980f.JPG
Inner side photo,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates28ad742ba40c88e07c0810de07e0453f.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesf0c168631dfa0b4633dd5940abecde9d.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesf5274eb8eb9a0734a9b9729ea925a9bd.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates5e502e72b7f1f5ea3f4c6379470b9a5e.JPG,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates518b7ceea1f6485a58d479d51fc2454b.JPG
Set date,9/14/16,,9/14/16,,6/9/16,7/15/15,7/31/15,7/15/15,7/31/15,,1/1/70,10/19/16,,1/1/70,8/13/16
Source,"Muscongus Bay, Maine",,"Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine","Bronx River, New York",,"Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,0,,0,,9,0,6,,6,,2,9,,2,5
Total mass of live oysters at baseline (g),39.6,,39.6,,,,5.2,,5.2,,,7,,,
Total number of live oysters on shell,2,0,0,2,3,0,4,7,6,2,1,10,0,1,4
